9420,40,282,4094,4,-10,3,-395,6,0,230
9440,46,295,4103,35,-8,2,-395,6,0,230
9460,44,294,4104,21,-5,0,-395,6,0,230
9480,46,312,4103,37,-5,2,-395,6,0,230
9500,49,308,4105,10,-7,4,-395,6,1,230
9520,41,310,4106,12,-7,2,-395,6,1,230
9540,2,256,4105,45,-15,-4,-395,5,1,230
9560,207,430,4073,90,-14,4,-395,5,2,230
9580,85,366,4109,40,-9,-6,-395,5,3,230
9600,1,349,4090,62,-8,1,-395,5,4,230
9620,31,328,4115,20,-7,9,-395,5,5,230
9640,61,331,4095,-6,-11,10,-395,5,5,230
9660,38,321,4092,-6,-24,7,-395,5,5,230
9680,-67,330,4104,8,-16,9,-395,5,5,230
9700,-132,146,4128,-11,-29,38,-394,5,5,230
9720,227,348,4091,2,-12,-20,-394,5,5,230
9740,-123,351,4088,-4,-3,10,-394,4,5,230
9760,80,331,4094,-12,-12,-6,-394,4,5,230
9780,163,298,4118,-14,-12,-9,-394,4,4,230
9800,78,291,4126,1,-7,-13,-394,4,4,230
9820,-29,362,4065,26,13,-9,-395,4,5,230
9840,27,309,4097,25,-2,-36,-395,4,5,230
9860,176,327,4132,48,21,-55,-396,4,5,230
9880,-37,-157,4211,10,-30,-236,-398,4,5,230
9900,307,726,4281,138,128,-197,-400,4,5,230
9920,288,697,4138,-6,-34,-152,-402,4,5,230
9940,106,569,4084,22,1,-74,-404,4,6,230
9960,117,353,4076,4,-18,-70,-406,4,6,230
9980,-289,188,4014,-23,-64,15,-407,4,6,230
10000,-62,306,4116,79,31,-1,-408,5,7,230
10020,152,477,4104,101,-7,-7,-407,5,8,230
10040,65,519,4114,57,9,5,-407,5,10,230
10060,37,393,4100,2,-1,10,-407,5,10,230
10080,36,379,4096,-5,0,28,-407,5,10,230
10100,37,337,4110,4,-1,-2,-407,5,10,230
10120,33,386,4079,13,5,-7,-407,5,10,230
10140,35,421,4078,-3,-12,16,-407,5,10,230
10160,57,384,4098,3,-11,17,-407,5,10,230
10180,110,685,4038,2,19,32,-406,5,11,231
10200,369,1660,4049,46,18,88,-406,5,11,231
10220,-212,-513,4217,2,92,-31,-407,4,10,230
10240,-78,21,4094,4,-13,-56,-408,5,10,230
10260,-132,189,4119,1,-6,3,-408,5,9,230
10280,35,366,4100,5,-2,2,-408,5,9,230
10300,43,376,4094,7,1,0,-408,5,10,230
10320,31,375,4090,-2,-4,2,-408,5,10,231
10340,49,359,4099,-7,-13,-18,-409,5,10,230
10360,31,392,4104,-3,-5,6,-409,5,10,230
10380,43,370,4098,3,-3,5,-409,5,10,231
10400,38,361,4102,8,0,0,-409,5,10,231
10420,73,310,4102,13,3,-6,-409,5,10,231
10440,-21,495,4094,26,12,41,-408,5,10,230
10460,39,498,4090,21,4,14,-408,6,10,230
10480,3,479,4069,25,7,43,-407,6,11,230
10500,18,345,4098,22,7,84,-406,6,11,231
10520,132,630,4061,0,-8,12,-405,6,11,230
10540,32,399,4096,-6,-8,7,-404,5,11,231
10560,29,384,4092,-6,-10,9,-404,5,11,231
10580,32,382,4101,-5,-11,8,-404,5,11,231
10600,26,395,4099,-7,-14,12,-404,5,11,231
10620,36,385,4096,-9,-11,16,-404,5,11,230
10640,36,379,4091,-7,-10,28,-404,5,11,230
10660,37,383,4098,-4,-11,7,-404,5,11,230
10680,33,383,4096,-1,-7,7,-404,5,11,230
10700,-42,373,4098,-5,-1,37,-403,5,11,230
