20,98,236,4003,2,-7,1,0,0,0,226
40,97,235,4003,2,-6,5,0,0,0,227
60,92,234,4002,-2,-6,4,0,0,0,226
80,94,233,3998,-2,-9,3,0,0,0,226
100,96,234,3997,-4,-9,1,0,0,0,226
120,94,234,4002,-1,-7,4,0,0,0,227
140,92,237,4003,0,-8,2,0,0,0,226
160,94,236,4003,-1,-7,3,0,0,0,227
180,96,232,4003,-2,-6,2,0,0,0,226
200,97,233,3999,-2,-6,3,0,0,0,227
220,99,234,4005,-4,-10,3,0,0,0,227
240,93,235,4001,-3,-6,3,0,0,0,227
260,99,234,4000,-2,-8,3,0,0,0,226
280,96,238,3997,-2,-9,3,0,0,0,227
300,96,234,3996,-5,-7,3,0,0,0,227
320,96,233,3997,-1,-7,2,0,0,0,226
340,95,235,4000,-3,-6,1,0,0,0,226
360,100,232,3999,0,-8,3,0,0,0,226
380,97,237,4004,-2,-6,3,0,0,0,226
400,97,234,4000,-1,-9,3,0,0,0,226
420,95,234,4001,-2,-5,1,0,0,0,227
440,97,232,3998,0,-7,4,0,0,0,227
460,99,236,3998,-4,-7,1,0,0,0,226
480,96,235,4003,-1,-7,2,0,0,0,227
500,96,233,4004,-1,-10,2,0,0,0,227
520,94,233,3999,-3,-7,4,0,0,0,227
540,95,234,4002,-2,-7,5,0,0,0,227
560,98,233,3997,-2,-7,1,0,0,0,227
580,102,236,4005,0,-7,4,0,0,0,227
600,98,234,3996,-2,-7,2,0,0,0,227
620,98,235,3998,0,-5,4,0,0,0,227
640,97,236,4001,-2,-10,1,0,0,0,226
660,98,233,4004,-3,-7,3,0,0,0,227
680,94,235,4000,-4,-8,1,0,0,0,227
700,94,235,4000,-3,-5,1,0,0,0,227
720,98,234,4003,1,-7,1,0,0,0,226
740,97,236,4004,-2,-9,1,0,0,0,226
760,100,232,4000,-4,-6,0,0,0,0,226
780,97,233,4005,-1,-5,2,0,0,0,226
800,97,240,3999,-6,-6,2,0,0,0,227
820,97,237,4001,-1,-7,2,0,0,0,226
840,93,235,4003,-1,-7,3,0,0,0,227
860,95,231,4003,-4,-8,3,0,0,0,227
880,97,233,4007,-3,-6,2,0,0,0,227
900,95,233,4002,0,-7,3,0,0,0,227
920,95,235,4003,-2,-7,2,0,0,0,226
940,93,236,4000,0,-8,1,0,0,0,226
960,93,238,4001,-4,-8,6,0,0,0,226
980,94,235,4000,1,-6,0,0,0,0,227
1000,93,234,4004,1,-8,2,0,0,0,226
1020,96,231,4001,-2,-8,3,0,0,0,227
1040,97,238,4000,-1,-9,2,0,0,0,227
1060,96,233,3998,-1,-6,1,0,0,0,226
1080,96,233,3998,-3,-6,1,0,0,0,227
1100,97,234,4000,-1,-6,-1,0,0,0,227
1120,92,233,3995,-5,-3,4,0,0,0,227
1140,99,236,4000,-3,-7,2,0,0,0,226
1160,95,235,4001,-4,-5,1,0,0,0,226
1180,98,236,4003,-1,-5,2,0,0,0,227
1200,97,233,4001,-2,-8,2,0,0,0,226
1220,102,229,4000,-2,-8,3,0,0,0,227
1240,83,239,3989,1,-5,2,0,0,0,226
1260,100,236,4001,-1,-7,2,0,0,0,227
1280,96,235,3997,-4,-8,1,0,0,0,227
1300,95,231,4002,-2,-9,2,0,0,0,226
1320,95,233,4000,0,-8,3,0,0,0,227
1340,100,233,4001,-3,-10,2,0,0,0,226
1360,99,233,4000,-1,-6,3,0,0,0,226
1380,98,231,3998,0,-6,5,0,0,0,226
1400,96,235,4000,0,-9,1,0,0,0,227
1420,92,237,4004,3,-7,2,0,0,0,227
1440,99,234,4004,0,-7,3,0,0,0,227
1460,95,235,3997,-3,-3,1,0,0,0,226
1480,97,234,3998,0,-6,1,0,0,0,227
1500,98,233,4001,0,-7,2,0,0,0,226
1520,97,234,4002,-2,-8,0,0,0,0,227
1540,96,234,4002,0,-7,3,0,0,0,227
1560,98,235,4007,-2,-8,0,0,0,0,227
1580,96,235,4002,-3,-4,1,0,0,0,227
1600,98,236,3995,-3,-9,5,0,0,0,226
1620,100,235,4003,-3,-7,3,0,0,0,227
1640,96,230,4003,1,-5,3,0,0,0,227
1660,99,230,4001,-3,-7,2,0,0,0,227
1680,93,236,4000,-1,-8,4,0,0,0,227
1700,102,233,4004,0,-5,1,0,0,0,227
1720,97,234,3999,1,-6,3,0,0,0,226
1740,97,232,3999,1,-6,2,0,0,0,226
1760,94,232,3998,-2,-9,5,0,0,0,227
1780,96,232,3998,-1,-7,4,0,0,0,226
1800,97,235,4000,-1,-7,2,0,0,0,227
1820,95,235,3999,-2,-7,3,0,0,0,227
1840,93,238,4003,0,-6,4,0,0,0,226
1860,99,238,3997,-2,-7,3,0,0,0,227
1880,98,237,3998,-2,-5,2,0,0,0,227
1900,93,235,4004,-2,-8,3,0,0,0,227
1920,94,233,4002,-2,-9,1,0,0,0,227
1940,98,233,4003,-6,-7,6,0,0,0,226
1960,94,237,4006,-2,-7,2,0,0,0,227
1980,97,235,4004,-4,-5,2,0,0,0,227
2000,96,231,3996,-1,-9,2,0,0,0,226
2020,97,236,4004,-1,-7,2,0,0,0,227
2040,96,236,4001,-2,-7,3,0,0,0,227
2060,99,232,3998,-2,-6,2,0,0,0,227
2080,97,238,3999,-1,-9,0,0,0,0,226
2100,98,231,3998,2,-6,3,0,0,0,227
2120,100,233,3998,-3,-10,2,0,0,0,227
2140,95,235,4006,1,-5,5,0,0,0,227
2160,94,234,3999,-3,-7,3,0,0,0,227
2180,96,234,4001,-2,-10,3,0,0,0,227
2200,98,232,3998,-3,-7,0,0,0,0,227
2220,97,232,4000,-1,-7,0,0,0,0,227
2240,93,233,4006,-3,-5,3,0,0,0,227
2260,98,234,3998,-1,-9,1,0,0,0,227
2280,96,229,4004,-1,-8,2,0,0,0,227
2300,94,235,3999,-3,-6,0,0,0,0,227
2320,95,233,4001,-1,-9,3,0,0,0,227
2340,99,235,4003,-2,-7,2,0,0,0,227
2360,98,232,3999,-2,-10,3,0,0,0,227
2380,99,233,4005,-3,-6,1,0,0,0,227
2400,92,236,3999,0,-5,3,0,0,0,227
2420,94,231,3998,-1,-8,4,0,0,0,227
2440,96,236,4000,-4,-5,2,0,0,0,226
2460,95,235,4001,0,-4,3,0,0,0,227
2480,93,234,3998,-1,-11,2,0,0,0,227
2500,96,236,4000,-4,-5,1,0,0,0,227
2520,95,233,4002,-1,-8,0,0,0,0,227
2540,96,233,4004,1,-6,2,0,0,0,227
2560,97,238,4001,-4,-8,5,0,0,0,227
2580,96,236,4000,-2,-6,3,0,0,0,227
2600,98,231,4000,0,-7,2,0,0,0,227
2620,101,234,4001,-4,-5,4,0,0,0,227
2640,94,236,4000,-1,-10,2,0,0,0,227
2660,99,233,4001,-3,-9,2,0,0,0,227
2680,99,233,4003,0,-7,3,0,0,0,227
2700,100,233,4003,-2,-8,1,0,0,0,227
2720,95,235,4001,0,-6,3,0,0,0,227
2740,99,237,3996,-3,-6,5,0,0,0,227
2760,100,235,3998,-2,-6,1,0,0,0,227
2780,98,234,4003,-1,-9,4,0,0,0,227
2800,94,234,4005,1,-8,4,0,0,0,227
2820,96,236,4003,0,-8,3,0,0,0,227
2840,96,235,4001,-4,-7,3,0,0,0,227
2860,98,235,3998,-2,-6,1,0,0,0,227
2880,97,238,3997,-1,-5,2,0,0,0,226
2900,100,233,3998,-3,-12,1,0,0,0,226
2920,97,234,4004,-2,-8,4,0,0,0,227
2940,101,238,4003,0,-7,1,0,0,0,227
2960,97,233,3999,0,-8,2,0,0,0,227
2980,95,232,4004,0,-9,3,0,0,0,227
3000,94,231,4007,-2,-6,2,0,0,0,227
3020,96,234,4001,-1,-8,3,0,0,0,227
3040,93,233,4001,-4,-6,4,0,0,0,227
3060,96,229,3999,0,-7,2,0,0,0,227
3080,96,235,3997,-2,-8,3,0,0,0,226
3100,96,230,3997,-1,-6,1,0,0,0,226
3120,96,233,4006,0,-8,4,0,0,0,227
3140,98,234,3998,-1,-6,2,0,0,0,227
3160,102,233,4000,-1,-7,3,0,0,0,227
3180,93,236,4000,1,-7,2,0,0,0,227
3200,97,231,3998,-4,-9,3,0,0,0,227
3220,98,231,4002,-3,-8,3,0,0,0,227
3240,98,233,4003,0,-8,3,0,0,0,227
3260,98,233,3999,1,-6,2,0,0,0,227
3280,98,234,4000,0,-7,3,0,0,0,227
3300,97,235,4005,-2,-7,3,0,0,0,227
3320,97,236,4000,-5,-10,2,0,0,0,227
3340,102,227,4003,-2,-6,5,0,0,0,227
3360,115,212,4011,9,0,1,0,0,0,227
3380,90,221,4010,30,26,0,0,0,0,227
3400,139,179,4034,43,31,-1,0,0,0,227
3420,39,289,3972,83,67,-4,0,1,1,227
3440,58,278,3984,0,-6,1,0,2,2,227
3460,53,279,3983,-31,-31,7,0,2,2,227
3480,69,266,3985,-66,-62,9,0,1,1,227
3500,68,260,3992,-85,-79,8,0,0,0,226
3520,23,302,3957,3,0,2,0,0,0,227
3540,27,328,3969,-40,-41,4,0,0,0,227
3560,89,252,4000,8,-3,4,0,0,0,227
3580,97,230,3999,2,-6,2,0,0,0,227
3600,96,232,4001,0,-7,4,0,0,0,227
3620,99,231,4002,-3,-6,0,0,0,0,227
3640,102,232,4001,-5,-5,3,0,0,0,227
3660,95,234,4004,-2,-8,2,0,0,0,227
3680,92,235,3997,2,-10,3,0,0,0,226
3700,98,234,4005,-3,-6,4,0,0,0,227
3720,96,237,4000,0,-5,2,0,0,0,227
3740,96,236,4000,1,-8,3,0,0,0,227
3760,98,231,4003,-3,-8,0,0,0,0,227
3780,98,232,4002,1,-8,2,0,0,0,227
3800,97,236,3999,-2,-8,3,0,0,0,227
3820,96,236,4001,-2,-7,0,0,0,0,227
3840,97,231,3998,-1,-8,5,0,0,0,227
3860,96,233,4002,-1,-9,5,0,0,0,227
3880,94,237,4006,1,-6,0,0,0,0,227
3900,94,236,3999,0,-6,2,0,0,0,227
3920,96,233,4002,1,-8,2,0,0,0,227
3940,76,246,4003,-4,-8,2,0,0,0,227
3960,91,244,4003,-4,-5,2,0,0,0,227
3980,95,237,4003,2,-8,4,0,0,0,227
4000,99,237,3999,-2,-5,1,0,0,0,227
4020,100,231,4004,-2,-6,5,0,0,0,227
4040,96,235,4004,-2,-6,0,0,0,0,227
4060,95,236,4001,1,-9,3,0,0,0,227
4080,95,232,4001,-1,-7,3,0,0,0,227
4100,91,235,4000,-2,-8,3,0,0,0,227
4120,97,237,3996,-1,-7,2,0,0,0,227
4140,97,229,3997,1,-6,2,0,0,0,227
4160,101,237,4003,-1,-8,2,0,0,0,227
4180,96,239,4000,1,-8,-1,0,0,0,227
4200,95,236,4000,-4,-7,-1,0,0,0,227
4220,95,232,4002,-2,-5,4,0,0,0,227
4240,96,234,4003,1,-5,-1,0,0,0,227
4260,93,238,4000,-2,-9,5,0,0,0,227
4280,96,236,4002,-1,-7,3,0,0,0,227
4300,106,217,4007,3,-8,3,0,0,0,226
4320,95,236,3997,-3,-8,3,0,0,0,227
4340,90,240,4006,0,-6,2,0,0,0,226
4360,95,239,3999,-3,-8,3,0,0,0,227
4380,96,223,4007,1,-8,2,0,0,0,227
4400,103,216,4002,6,-2,2,0,0,0,227
4420,94,234,4003,1,-4,1,0,0,0,227
4440,96,222,4008,6,-4,4,0,0,0,227
4460,113,229,4007,5,-5,1,0,0,0,227
4480,117,224,4003,1,-7,2,0,0,0,227
4500,140,220,4002,-3,-7,2,0,0,0,227
4520,129,190,4010,1,5,94,0,0,0,227
4540,-339,315,4044,-23,50,844,9,0,0,227
4560,84,354,4035,-49,-13,521,18,0,0,227
4580,15,381,3926,-39,-38,4,20,0,0,227
4600,125,205,4026,76,58,-4,20,1,0,227
4620,117,213,4018,43,25,0,20,1,1,227
4640,-129,386,3887,-189,-165,14,20,0,0,227
4660,-122,76,4043,11,-1,-32,19,1,0,227
4680,58,287,4160,0,-66,38,19,0,0,227
4700,-138,388,4540,-39,-656,147,20,-4,0,227
4720,5,-36,3875,-15,-708,287,22,-14,0,226
4740,-244,604,3758,3,-555,524,28,-22,0,227
4760,190,398,4261,-37,-1094,786,38,-35,-1,227
4780,1476,360,4205,678,-714,444,45,-48,3,227
4800,758,365,3380,29,-648,195,49,-58,7,227
4820,485,275,3691,-677,-631,-20,49,-67,2,227
4840,621,-38,3956,-1441,-742,23,48,-77,-14,227
4860,939,-160,4186,-1671,-894,44,48,-89,-36,227
4880,1054,-708,4076,-2498,-936,58,49,-101,-68,227
4900,1137,-85,4226,-2551,-936,114,51,-115,-102,227
4920,702,-496,4298,-3173,-1329,422,56,-130,-145,227
4940,641,-1002,4025,-2859,-1441,782,69,-147,-190,227
4960,1408,-1331,3826,-2582,-1461,1137,90,-161,-234,227
4980,1689,-1555,3400,-2514,-1655,675,109,-178,-275,227
